装备ID,名字,名字,装备显示图片,子弹路径,子弹名,武器特效路径,武器特效名,装备绑定特效路径,装备绑定特效名,子弹速度,是否能够攻击,音效事件名称,装备位置,最大等级,星级,允许职业,升级路径1,升级路径2,生命值,每等级生命,物理基础攻击下限,物理基础攻击下限每等级,物理基础攻击上限,物理基础攻击上限每等级,魔法基础攻击下限,魔法基础攻击下限每等级,魔法基础攻击上限,魔法基础攻击上限每等级,暴击等级,暴击成长,命中等级,命中成长,速度等级,速度成长,附带技能,售出价格,吞噬获取经验,吞噬获取经验/等级,基础战斗力,战斗力每等级,最大等级,基础分数加成%,加分成长%,装备icon,进阶消耗金币,进阶材料1,进阶材料1数量,进阶材料2,进阶材料2数量,进阶材料3,进阶材料3数量,进阶材料4,进阶材料4数量,进阶材料5,进阶材料5数量,音乐
ID_ks,Name_c,ShowName_s,ModelID_s,BulletEffectPath_s,BulletEffectName_s,WeaponEffectPath_s,WeaponEffectName_s,EquipEffPath_s,EquipEff_s,BulletSpeed_n,CanAttack_n,SoundEvent_s,Slot_n,Level_n,Star_n,Class_n,Evolve1_s,Evolve2_s,HP_n,HPPerLvl_n,PAttackMin_n,PAttMinPerLvl_n,PAttackMax_n,PAttMaxPerLvl_n,MAttackMin_n,MAttMinPerLvl_n,MAttackMax_n,MAttMaxPerLvl_n,CritLvl_n,CritPerLvl_n,HitLvl_n,HitPerLvl_n,SpeedLvl_n,SpeedPerLvl_n,Skill_s,SellPrice_n,XPGain_n,XPGainPerLvl_n,CP_n,CPperLevel_n,Level_n,BaseScore_n,ScoreGrowth_n,ItemShow_s,AdvanceCost_n,AdvancedMaterial01_s,AdvancedMaterial01Number_n,AdvancedMaterial02_s,AdvancedMaterial02Number_n,AdvancedMaterial03_s,AdvancedMaterial03Number_n,AdvancedMaterial04_s,AdvancedMaterial04Number_n,AdvancedMaterial05_s,AdvancedMaterial05Number_n,Sound_s
YC00S1T1,铁骑士剑01,铁骑士剑,wpn_swordsman_01_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,10,1,1,YC00S1T2,0,1,1,97,0.085,119,0.085,0,0,0,0,0,0,30,0.085,0,0,swordsman_basicattack0101,25,100,10,50,8,10,1,1.0,icn_wpn_swordsman_01_01.png,0,0,,0,,0,,0,,0,,
YC00S1T2,钢骑士剑01,钢骑士剑,wpn_swordsman_01_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,25,2,1,YC00S1T3_1,YC00S1T3_2,1,1,146,0.085,178,0.085,0,0,0,0,0,0,45,0.085,0,0,swordsman_basicattack0101,25,100,10,75,11,25,25,0.4,icn_wpn_swordsman_01_02.png,2000,ma010204,1,ma010203,1,,,,,0,,
YC00S1T3_1,银骑士剑01_1,银骑士剑,wpn_swordsman_01_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,40,3,1,YC00S1T4_1,0,1,1,194,0.085,238,0.085,0,0,0,0,0,0,60,0.085,0,0,swordsman_basicattack0103_1,25,100,10,100,15,40,40,0.0,icn_wpn_swordsman_01_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S1T4_1,银骑士剑01_1+1,银骑士剑,wpn_swordsman_01_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,45,3,1,YC00S1T5_1,0,1,1,214,0.085,261,0.085,0,0,0,0,0,0,66,0.085,0,0,swordsman_basicattack0103_1,25,100,10,110,17,45,40,0.0,icn_wpn_swordsman_01_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S1T5_1,银骑士剑01_1+2,银骑士剑,wpn_swordsman_01_03_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,50,3,1,YC00S1T6_1,0,1,1,233,0.085,285,0.085,0,0,0,0,0,0,72,0.085,0,0,swordsman_basicattack0103_1,25,100,10,120,18,50,40,0.6,icn_wpn_swordsman_01_03_01.png,5000,ma010204,1,ma010203,1,ma010202,1,ma010301,1,ma010308,1,
YC00S1T6_1,黄金骑士剑01_1,黄金骑士剑,wpn_swordsman_01_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,65,4,1,YC00S1T7_1,0,1,1,292,0.085,356,0.085,0,0,0,0,0,0,90,0.085,0,0,swordsman_basicattack0103_1,25,100,10,150,23,65,80,0.0,icn_wpn_swordsman_01_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S1T7_1,黄金骑士剑01_1+1,黄金骑士剑,wpn_swordsman_01_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,70,4,1,YC00S1T8_1,0,1,1,311,0.085,380,0.085,0,0,0,0,0,0,96,0.085,0,0,swordsman_basicattack0103_1,25,100,10,160,24,70,80,0.0,icn_wpn_swordsman_01_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S1T8_1,黄金骑士剑01_1+2,黄金骑士剑,wpn_swordsman_01_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,75,4,1,YC00S1T9_1,0,1,1,330,0.085,404,0.085,0,0,0,0,0,0,102,0.085,0,0,swordsman_basicattack0103_1,25,100,10,170,26,75,80,0.0,icn_wpn_swordsman_01_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S1T9_1,黄金骑士剑01_1+3,黄金骑士剑,wpn_swordsman_01_04_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,80,4,1,,,1,1,350,0.085,428,0.085,0,0,0,0,0,0,108,0.085,0,0,swordsman_basicattack0103_1,25,100,10,180,27,80,80,0.2,icn_wpn_swordsman_01_04_01.png,10000,ma010401,1,ma010409,1,ma010201,1,ma010301,1,ma010308,1,
YC00S1T10_1,橙色骑士剑01_1,橙色骑士剑1,wpn_swordsman_01_05_01.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,95,5,1,0,0,1,1,437,0.085,535,0.085,0,0,0,0,0,0,135,0.085,0,0,swordsman_basicattack0105_1,25,100,10,225,34,95,100,0.0,icn_wpn_swordsman_01_05_01.png,20000,,,,,,,0,,0,,
YC00S1T10_2,橙色骑士剑01_2,橙色骑士剑2,wpn_swordsman_01_05_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,100,5,1,0,0,1,1,467,0.085,570,0.085,0,0,0,0,0,0,144,0.085,0,0,swordsman_basicattack0105_2,25,100,10,240,36,100,100,0.0,icn_wpn_swordsman_01_05_02.png,20000,,,,,,,0,,0,,
YC00S1T3_2,黑曜骑士剑01_2,黑曜骑士剑,wpn_swordsman_01_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,40,3,1,YC00S1T4_2,0,1,1,194,0.085,238,0.085,0,0,0,0,0,0,60,0.085,0,0,swordsman_basicattack0103_2,25,100,10,100,15,40,40,0.0,icn_wpn_swordsman_01_03_02.png,5000,ma010301,1,ma010308,1,0,,0,,0,,
YC00S1T4_2,黑曜骑士剑01_2+1,黑曜骑士剑,wpn_swordsman_01_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,45,3,1,YC00S1T5_2,0,1,1,214,0.085,261,0.085,0,0,0,0,0,0,66,0.085,0,0,swordsman_basicattack0103_2,25,100,10,110,17,45,40,0.0,icn_wpn_swordsman_01_03_02.png,5000,0,,0,,0,,0,,0,,
YC00S1T5_2,黑曜骑士剑01_2+2,黑曜骑士剑,wpn_swordsman_01_03_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,50,3,1,YC00S1T6_2,0,1,1,233,0.085,285,0.085,0,0,0,0,0,0,72,0.085,0,0,swordsman_basicattack0103_2,25,100,10,120,18,50,40,0.6,icn_wpn_swordsman_01_03_02.png,5000,0,,0,,0,,0,,0,,
YC00S1T6_2,暗黑骑士剑01_2,暗黑骑士剑,wpn_swordsman_01_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,65,4,1,YC00S1T7_2,0,1,1,292,0.085,356,0.085,0,0,0,0,0,0,90,0.085,0,0,swordsman_basicattack0103_2,25,100,10,150,23,65,80,0.0,icn_wpn_swordsman_01_04_02.png,10000,ma010401,1,ma010409,1,0,,0,,0,,
YC00S1T7_2,暗黑骑士剑01_2+1,暗黑骑士剑,wpn_swordsman_01_04_02.png,0,0,Eff/Tower/swordsman/eff_swordsman_BasicAttack_01_03_01,eff_swordsman_BasicAttack_01_03_01,0,0,0,1,onSoundCB,1,70,4,1,YC00S1T8_2,0,1,1,311,0.085,380,0.085,0,0,0,0,0,0,96,0.085,0,0,swordsman_basicattack0103_2,25,100,10,160,24,70,80,0.0,icn_wpn_swordsman_01_04_02.png,10000,0,,0,,0,,0,,0,,
