任务id,任务类型 ,任务类型参数1,任务类型参数2,任务类型参数3,任务名称,任务描述,奖励种类,奖励道具ID,数量,任务完成参数1,任务完成参数2,每日次数限制,每日刷新,期限开始时间,期限结束时间
TaskID_ks,TaskSystem_n,TaskType1_n,TaskType2_n,TaskType3_n,TaskName_s,TaskDescription_s,RewardType_n,RewardItemID_s,RewardNumber_n,Condition1_n,Condition2_n,DailyLimit_n,DailyRefresh_n,Start_s,Over_s
Task_01_01,1,10003,,,击杀boss,活动期间累积杀死10只Boss怪物,1,,1000,10,0,0,1,,
Task_01_02,1,10003,,,boss日常,活动期间，每日累积杀死3只Boss怪物,1,,2000,3,0,0,2,,
Task_01_03,1,30001,,,出手阔绰,活动期间每日消费2000钻石立返200钻石,2,,200,2000,0,0,1,,
Task_01_04,1,30002,,,腰缠万贯,活动期间每日消费2000金币立返200金币,1,,200,2000,0,0,1,,
Task_01_06,1,40001,,,任务达人,活动期间闯关模式累计得分过500000即可获得1500金币,1,,1500,500000,0,0,1,,
Task_01_07,1,60001,,,充值达人,活动期间累积充值2000钻立返200钻石,2,,200,2000,0,0,1,,
Task_01_08,1,60002,,,抽奖达人,活动期间参与寻宝3次,2,,100,3,0,0,1,,
Task_01_09,1,10001,M00207,,木乃伊猎手,活动期间累积杀死10只木乃伊石棺,1,,1000,10,0,0,1,,
Task_01_10,1,20005,,1,热爱活动,通关活动关卡（每日更新）,2,,50,1,0,1,2,,
Task_01_11,1,50002,,2,武器大师,活动期间通过进阶获得一把顶级装备,2,,200,1,6,1,1,,
Task_02_01,2,10004,,,户外活动1,当天累积杀死50只怪物,1,,500,50,0,0,2,,
Task_02_02,2,10004,,,户外活动2,当天累积杀死100只怪物,1,,1000,100,0,0,2,,
Task_02_03,2,40002,,,无冕之王1,无尽模式单局得分过20000,1,,2000,20000,0,0,2,,
Task_02_04,2,40002,,,无冕之王2,无尽模式单局得分过40000,1,,5000,40000,0,0,2,,
Task_02_05,2,40003,,,闯关得分1,闯关模式单局得分过10000,1,,1000,10000,0,0,2,,
Task_02_06,2,40003,,,闯关得分2,闯关模式单局得分过20000,1,,2500,20000,0,0,2,,
Task_02_07,2,10002,,,精英怪物猎手1,当天累积杀死10只精英怪物,1,,1000,10,0,0,1,,
Task_02_08,2,10002,,,精英怪物猎手2,当天累积杀死20只精英怪物,1,,2500,20,0,0,1,,
Task_02_09,2,10001,,,怪物猎手1,当天累积杀死50只普通怪物,1,,500,50,0,0,1,,
Task_02_10,2,10001,,,怪物猎手2,当天累积杀死100只普通怪物,1,,1000,100,0,0,1,,
Task_02_11,2,10003,,,无所畏惧的勇者1,累积杀死3只Boss怪物,1,,1000,3,0,0,2,,
Task_02_12,2,10003,,,无所畏惧的勇者2,累积杀死10只Boss怪物,1,,3000,10,0,0,1,,
Task_02_13,2,30003,,,甜食主义者1,消费2000果冻,1,,100,2000,0,0,2,,
Task_02_14,2,30003,,,甜食主义者2,消费4000果冻,1,,300,4000,0,0,2,,
Task_02_15,2,20004,,1,过关斩将1,通关3次任意关卡,1,,500,3,0,1,1,,
Task_02_16,2,20004,,1,过关斩将2,通关5次任意关卡,1,,1000,5,0,1,1,,
Task_02_17,2,20003,,1,势不可挡1,通过无尽模式1次,1,,1000,1,0,1,2,,
Task_02_18,2,20003,,1,势不可挡2,通过无尽模式2次,1,,2000,2,0,1,2,,
Task_02_19,2,20001,,1,户外活动1,通过普通关卡一次,5,,10,1,0,1,2,,
Task_02_20,2,20002,,1,户外活动2,通过精英关卡一次,5,,15,1,0,1,2,,
Task_02_21,2,20003,,1,户外活动3,通过无尽关卡一次,5,,25,1,0,1,2,,
Task_02_22,2,20006,,1,户外活动4,通过Boss关卡一次,5,,20,1,0,1,2,,
Task_02_23,2,70001,,,杰出战绩,将当日战绩分享至Facebook,5,,10,1,0,1,2,,
Task_03_01,3,20007,,1,完成一次闯关模式,完成一次闯关模式,3,,10,1,0,4,2,,
Task_03_02,3,20003,,1,完成一次无尽模式,完成一次无尽模式,3,,15,1,0,2,2,,
Task_03_03,3,50003,,1,进行一次装备强化,进行一次装备强化,3,,10,1,0,1,2,,
Task_03_04,3,70002,,,赠送一次好友体力,赠送一次好友体力,3,,10,1,0,1,2,,
Task_03_05,3,30004,,1,购买一次战前补给,购买一次战前补给,3,,10,1,0,1,2,,
